,CD14+_Monocytes,CD4_T_cells,FCGR3A+_Monocytes,NK_cells,Dendritic_cells,CD8_T_cells,B_cells_1,B_cells_2
AL627309.1,131.46947,17.591595,10.602661,0.0,9.315699,6.170474,0.0,0.0
AL627309.5,693.0851,73.54297,58.564377,13.457418,0.0,12.347318,8.02294,0.0
AL627309.4,47.20754,0.0,0.0,0.0,0.0,0.0,8.3222685,0.0
AL669831.2,0.0,16.354658,0.0,0.0,0.0,0.0,3.185998,3.185998
LINC01409,278.03278,418.2613,20.4967,72.64357,41.873493,75.82107,50.698143,3.0100617
LINC01128,265.62726,611.2239,22.561466,30.566076,30.128016,40.129642,77.402954,11.0104685
LINC00115,78.93799,82.53254,17.024887,9.103917,18.013235,3.7885616,0.0,0.0
FAM41C,38.712982,98.82764,11.144814,11.689883,0.0,7.293889,33.16862,4.0014234
AL645608.2,21.071712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMD11,14.782114,18.032429,5.2085524,8.6413555,0.0,0.0,7.778287,0.0
NOC2L,635.30585,1062.3035,183.56921,90.786964,88.75888,175.07364,238.42961,29.800713
KLHL17,64.54938,54.978218,7.7552423,7.1384583,13.26099,7.6767745,9.750949,6.081426
PLEKHN1,48.25717,10.9813385,6.6425004,0.0,0.0,3.9929314,0.0,0.0
AL645608.7,38.555023,0.0,23.269957,0.0,0.0,0.0,0.0,0.0
HES4,333.58017,16.325153,571.8306,8.910455,2.3421166,9.272643,4.010228,4.010228
ISG15,2720.5442,2608.5618,887.96277,370.02182,356.23334,745.1819,339.5325,28.013323
AL645608.1,0.0,15.345258,4.9721556,0.0,0.0,0.0,0.0,0.0
AGRN,67.43977,15.694477,0.0,0.0,0.0,0.0,5.605061,0.0
C1orf159,351.3107,595.1469,33.234066,49.877167,35.14293,94.57085,73.41669,7.66948
AL390719.3,13.818672,108.397285,4.358928,6.2356176,0.0,13.973993,7.644342,0.0
LINC01342,0.0,15.003262,0.0,0.0,0.0,0.0,53.391045,0.0
TTLL10,2.5892093,28.174677,2.5892093,0.0,0.0,0.0,0.0,0.0
TNFRSF18,5.0538044,309.23724,0.0,150.11232,0.0,55.707066,5.726578,0.0
TNFRSF4,7.643229,620.46954,0.0,53.240444,0.0,15.229842,0.0,0.0
SDF4,619.43115,1292.1459,174.82007,202.5157,133.45468,238.91692,126.56184,6.42686
B3GALT6,145.05037,339.41104,48.200165,35.29644,36.642136,71.370155,67.373886,5.41929
C1QTNF12,14.016167,5.4881897,0.0,0.0,0.0,0.0,2.4508476,7.9390373
UBE2J2,649.11,1162.7593,169.71674,103.536896,62.40339,258.3879,213.55986,19.34723
LINC01786,0.0,44.438763,0.0,0.0,0.0,0.0,0.0,0.0
SCNN1D,21.6461,36.118397,4.904236,0.0,0.0,0.0,8.3222685,0.0
ACAP3,358.4838,506.7936,52.141647,17.668293,29.036058,84.767746,40.90085,2.6093397
PUSL1,77.17514,262.41357,29.783901,15.743349,23.646517,23.671776,0.0,0.0
INTS11,538.52185,1303.1788,133.32487,135.23915,72.580414,207.50497,131.50722,14.60619
CPTP,69.052536,363.97192,29.497324,73.02149,19.14915,125.32952,70.89802,0.0
DVL1,106.86052,103.305016,0.0,0.0,10.320842,39.43426,17.75855,0.0
MXRA8,0.0,109.69142,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,739.5402,1764.2867,193.8128,201.21536,187.28891,378.73563,217.9784,21.48553
CCNL2,1126.1848,2090.526,137.23857,178.83214,97.08683,390.64813,308.96887,30.305656
MRPL20-AS1,90.58933,318.5635,27.956343,35.70661,0.0,81.04573,84.05997,9.663412
MRPL20,1116.2483,2475.016,313.39258,223.92146,221.9532,401.832,385.01016,42.847733
AL391244.2,35.102493,26.207052,6.18575,8.708337,0.0,4.291227,0.0,0.0
ANKRD65,9.676625,0.0,0.0,0.0,4.4243727,0.0,0.0,0.0
ATAD3C,12.733068,82.95356,0.0,8.749112,20.559742,37.314796,0.0,0.0
ATAD3B,212.5041,351.14243,8.859102,31.598707,14.206348,105.76634,10.739764,5.4881897
ATAD3A,155.5949,304.7201,58.458755,8.426486,15.591686,41.293953,55.0156,4.9918733
SSU72,881.94366,2304.029,274.45847,234.55774,205.66058,426.07416,222.10167,31.62316
AL645728.1,144.5278,228.17621,18.889807,26.149958,30.983196,25.936302,27.51215,5.782361
FNDC10,80.53449,83.033745,12.563619,0.0,2.106041,24.419947,13.880923,0.0
AL691432.4,29.151304,19.057215,4.904236,0.0,0.0,6.560635,0.0,0.0
AL691432.2,84.86886,80.37576,22.484789,0.0,2.199674,10.763327,19.382118,0.8867993
MIB2,196.68361,772.7834,50.300198,131.19084,2.6066847,193.56744,42.249153,8.666173
MMP23B,16.918362,29.536207,7.0873537,119.93095,2.3421166,77.35972,2.291185,2.291185
CDK11B,1456.5072,2269.5933,343.04907,147.73459,108.42006,506.32565,355.67877,34.967052
FO704657.1,12.607697,33.645306,11.297791,0.0,0.0,14.566488,0.0,0.0
SLC35E2B,280.92633,892.9922,39.040882,50.898712,31.737852,199.82462,99.46136,22.879133
CDK11A,2023.1375,3875.604,420.06464,343.0016,281.36234,825.0226,557.37573,70.72597
SLC35E2A,345.4371,1121.7971,29.844893,67.00082,52.231205,161.54291,109.34241,22.451862
NADK,2299.6577,593.5103,468.17944,95.052986,150.4645,113.79205,180.60124,73.54546
GNB1,3963.4353,4056.3523,671.47034,341.75504,369.61148,897.95294,807.27313,82.843025
AL109917.1,8.694533,45.174736,4.540893,0.0,2.199674,0.0,7.557542,0.0
CFAP74,22.611876,30.12257,5.1072154,0.0,2.106041,0.0,0.0,0.0
PRKCZ,121.30605,652.0381,0.0,45.467117,0.0,74.495865,106.2879,0.0
AL590822.2,7.2049913,24.440632,0.0,0.0,7.9447737,16.498968,6.716628,0.0
PRKCZ-AS1,6.236326,8.0868845,0.0,0.0,0.0,8.105915,15.681266,0.0
FAAP20,562.0056,1526.0234,148.96707,145.59874,97.71542,260.5184,222.59888,21.511713
AL590822.1,0.0,24.139437,0.0,0.0,0.0,0.0,0.0,0.0
SKI,697.8537,1526.8838,90.635216,94.00816,99.65457,192.48022,191.94821,4.935074
MORN1,78.38007,249.25941,17.234507,8.516628,10.485738,23.512514,74.78779,9.7465315
AL513477.2,0.0,16.746052,0.0,8.673951,0.0,5.635631,0.0,0.0
RER1,1015.1677,1849.4601,319.18948,128.07382,128.86116,435.5637,230.82889,29.867458
PEX10,111.0195,262.01294,43.032627,17.117565,9.152644,41.099335,80.40223,3.185998
PLCH2,0.0,245.8035,0.0,50.66859,0.0,73.08289,13.695835,0.0
PANK4,144.28816,353.6392,17.02658,36.279686,4.518006,75.047844,27.895018,0.0
AL139246.5,181.3646,324.46454,100.40106,90.32313,20.8402,125.68816,67.14949,8.542282
TNFRSF14-AS1,108.17623,207.939,43.93399,29.165958,0.0,80.17816,65.280075,0.0
TNFRSF14,1584.9895,2708.3926,479.72516,218.86179,178.56802,463.87143,359.4318,16.400616
AL139246.3,0.0,52.983803,0.0,0.0,0.0,0.0,0.0,0.0
PRXL2B,62.76438,199.29411,24.120228,0.0,22.178045,17.84965,31.732271,0.0
MMEL1,7.143049,40.33738,7.0192785,0.0,8.651555,7.7494664,0.0,0.0
TTC34,47.92144,71.22581,4.358928,0.0,1.9473134,9.332324,8.682891,0.0
PRDM16,0.0,16.38813,0.0,0.0,0.0,6.8487997,0.0,0.0
MEGF6,82.627304,455.0389,0.0,0.0,15.748043,24.748842,33.48093,0.0
TPRG1L,173.96146,599.47186,60.32065,48.078533,38.02589,118.48559,74.73841,6.1504292
WRAP73,240.84352,599.12665,75.87341,46.29399,19.072256,95.84223,77.718475,4.694196
TP73,5.419395,7.762118,0.0,0.0,0.0,0.0,9.631744,0.0
SMIM1,8.475507,36.659958,0.0,0.0,0.0,6.111535,0.0,0.0
LRRC47,291.12506,499.91928,88.71264,51.162907,57.695496,121.73223,99.43657,12.202157
CEP104,526.5334,1051.3334,118.54242,97.159164,69.64627,184.2126,140.73256,3.9931812
DFFB,127.361046,357.8914,36.42828,32.42854,8.860532,77.109795,55.579998,0.0
C1orf174,210.94997,382.02975,106.87606,77.43815,12.7080965,105.04045,54.151234,2.291185
LINC01134,45.345062,15.682234,5.102143,0.0,0.0,0.0,7.7334313,0.0
AJAP1,0.0,12.476598,0.0,0.0,0.0,0.0,31.590195,37.078384
AL365255.1,12.985817,95.73482,0.0,0.0,0.0,16.518763,0.0,0.0
NPHP4,392.81976,229.02003,48.123943,7.61884,20.126783,39.871845,16.177637,0.0
KCNAB2,2238.4097,3787.7346,400.97592,362.38867,312.66293,972.38965,211.85936,40.405136
CHD5,20.52306,25.11967,0.0,0.0,0.0,0.0,9.358947,0.0
RPL22,3538.683,14481.923,855.32837,659.0417,848.5861,1991.2241,1803.3411,124.083885
RNF207,9.188211,53.462494,15.580839,0.0,0.0,5.635631,7.862674,0.0
ICMT,80.923035,140.558,18.189648,34.500984,32.128185,50.12629,53.882343,9.198395
GPR153,26.857376,0.0,23.851799,10.365978,0.0,8.953496,0.0,0.0
ACOT7,105.57947,320.77094,22.836811,34.490223,28.040358,102.70609,38.867104,19.711735
AL031848.2,13.509933,48.039833,5.4819536,8.773487,0.0,3.8022547,16.885025,0.0
ESPN,7.645455,32.740047,0.0,0.0,0.0,0.0,8.230193,0.0
TNFRSF25,6.5018377,2026.3948,0.0,24.900759,7.9175963,194.24037,0.0,0.0
PLEKHG5,6.204612,61.11058,0.0,0.0,0.0,0.0,0.0,0.0
NOL9,460.90485,1239.2704,54.257057,32.722897,27.789003,166.57019,168.02637,20.868057
TAS1R1,23.443584,26.499264,5.071476,0.0,0.0,6.6744003,0.0,0.0
ZBTB48,570.9751,637.23303,79.095505,59.1836,76.27751,83.06818,74.09924,0.8867993
KLHL21,270.3888,295.07898,38.74819,24.070234,15.516804,50.577496,7.2167044,0.0
PHF13,33.57715,101.97071,10.68409,20.578695,0.0,33.535122,0.0,0.0
THAP3,133.68393,292.36603,13.527509,43.38782,15.735772,110.61757,36.115414,0.0
DNAJC11,669.0832,927.76575,107.08519,78.3767,60.02046,180.92683,137.42113,2.6438892
LINC01672,0.0,16.568935,0.0,0.0,0.0,0.0,8.299363,0.0
AL591163.1,4.3519917,26.424294,0.0,0.0,0.0,0.0,0.0,0.0
CAMTA1-DT,151.05122,88.68144,15.77887,0.0,21.27387,20.356293,38.28374,15.125147
CAMTA1,1372.0621,1685.0896,165.1636,125.889656,106.11732,289.90714,326.12253,32.46107
VAMP3,740.21466,304.4916,182.49788,40.131325,125.1202,112.83274,94.478004,3.9954267
Z98884.2,20.07279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PER3,158.56146,540.0643,53.266945,40.675568,18.528212,37.558266,79.36901,7.432371
Z98884.1,51.828003,161.14963,13.160234,9.94306,6.6562715,20.68666,34.07364,5.832873
UTS2,12.402418,25.8784,0.0,22.180656,0.0,31.359943,0.0,0.0
TNFRSF9,39.088158,19.407547,0.0,0.0,0.0,100.62662,0.0,0.0
PARK7,954.8765,2642.2524,386.21393,313.14212,274.47845,698.92426,451.35635,95.2931
AL034417.4,22.752773,63.729485,0.0,0.0,0.0,5.2385116,7.0564947,0.0
AL034417.3,12.18948,26.711575,0.0,0.0,0.0,0.0,11.332331,3.0100617
ERRFI1,17.80969,12.8856125,0.0,0.0,0.0,23.504986,16.106066,0.0
AL034417.2,13.177253,0.0,4.214856,0.0,1.9473134,6.140851,0.0,0.0
SLC45A1,13.685142,40.033054,16.939714,0.0,0.0,7.9044538,13.951505,0.0
RERE,4666.4985,6747.7803,795.46497,406.8065,464.13947,947.23785,1681.4559,127.45864
RERE-AS1,145.58138,116.21401,15.858046,0.0,4.37652,11.8629,36.122253,2.4508476
ENO1,3116.8823,6434.9707,810.4935,555.0679,553.4833,1204.0309,792.5052,86.48124
ENO1-AS1,8.139146,32.255848,11.492895,16.699865,0.0,6.4824944,11.205784,0.0
CA6,0.0,1222.8928,0.0,0.0,0.0,15.513899,0.0,0.0
SLC2A5,9.459922,15.778941,0.0,0.0,1.9901565,0.0,52.620678,0.0
GPR157,52.296494,229.52054,0.0,0.0,7.084729,22.10931,22.02606,2.4508476
H6PD,588.4403,629.28845,107.67348,68.511086,25.832743,184.05511,107.29102,4.4759145
SPSB1,46.3448,179.1374,2.5892093,0.0,0.0,57.078445,8.5395155,0.0
LINC02606,11.504314,9.61081,0.0,0.0,0.0,0.0,20.37751,0.0
SLC25A33,1335.2046,567.9947,192.26584,67.890755,142.1223,110.388954,184.75082,14.153719
TMEM201,30.048326,101.25557,2.2379653,0.0,8.705962,18.18305,27.381876,7.5730457
PIK3CD,3229.258,6071.282,515.37964,256.68655,291.915,767.4316,736.78784,103.8159
PIK3CD-AS1,2.199674,14.818746,0.0,0.0,2.199674,0.0,2.6093397,8.097529
PIK3CD-AS2,220.27795,709.83496,37.351574,23.349173,20.483253,74.45502,118.55437,13.226689
CLSTN1,890.6457,2143.3877,135.74892,123.80601,74.679474,456.34122,391.04443,32.835854
CTNNBIP1,608.83887,415.76126,56.745605,59.52693,115.38539,193.09998,105.281265,10.582481
AL357140.4,13.46634,26.767632,0.0,0.0,0.0,0.0,6.3059053,0.0
LZIC,298.19742,720.7134,130.73717,101.69009,149.50609,160.9883,102.39298,8.766047
AL357140.2,0.0,13.284014,0.0,0.0,0.0,0.0,0.0,0.0
NMNAT1,200.58578,210.21555,38.675304,12.028851,14.467323,20.40093,51.93733,5.459403
RBP7,513.4246,56.2045,67.244965,8.243392,0.0,8.6769285,9.472777,0.0
UBE4B,2087.0764,2096.9148,198.4879,136.96317,118.52036,376.886,315.7898,24.106127
KIF1B,2263.6282,803.38153,328.01303,60.328686,101.82333,252.29254,114.39461,31.75143
AL139424.3,15.437705,13.550387,0.0,0.0,0.0,0.0,0.0,0.0
PGD,1870.6447,394.06827,202.37428,44.44449,142.82051,107.84569,134.63582,41.40809
CENPS,19.45862,66.13696,0.0,0.0,18.661692,21.585543,23.531342,3.1153314
CORT,8.967398,0.0,0.0,0.0,0.0,0.0,2.9070172,2.9070172
DFFA,376.67126,718.7341,73.74223,96.1354,84.77136,170.04694,132.11427,10.323484
PEX14,1234.0637,2208.4426,116.39549,196.62419,138.34943,375.20892,271.74863,25.037663
AL139423.2,24.25164,68.407394,0.0,0.0,0.0,5.635631,0.0,0.0
CASZ1,105.35172,150.13766,15.570717,15.87805,11.498717,56.057007,93.96705,9.084041
AL139423.1,0.0,6.3168173,0.0,8.913627,0.0,0.0,30.065468,3.171954
C1orf127,28.009594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARDBP,975.71436,1820.6533,208.85207,137.19377,216.67258,345.0861,300.5969,27.57947
